AOP,description,year_1,year_2,year_3,year_4,year_5
0001,Upisani a neuplaćeni kapital,0,0,0,0,0
0002,STALNA IMOVINA,114790,101222,91204,81606,77543
0003,NEMATERIJALNA IMOVINA,5537,2329,2953,3190,1631
0004,Ulaganja u razvoj,0,0,0,0,0
0005,"Koncesije, patenti, licence, robne i uslužne marke, softver i ostala nematerijalna imovina",5537,2329,2953,3190,1631
0006,Gudvil,0,0,0,0,0
0007,Nematerijalna imovina uzeta u lizing i nematerijalna imovina u pripremi,0,0,0,0,0
0008,Avansi za nematerijalnu imovinu,0,0,0,0,0
0009,"NEKRETNINE, POSTROJENJA I OPREMA",108942,98572,87927,78186,75682
0010,Zemljište i građevinski objekti,58118,62246,48806,49941,50895
0011,Postrojenja i oprema,40020,33486,33793,28245,24787
0012,Investicione nekretnine,0,0,0,0,0
0013,"Nekretnine, postrojenja i oprema uzeti u lizing i nekretnine, postrojenja i oprema u pripremi",734,2840,5328,0,0
0014,"Ostale nekretnine, postrojenja i oprema i ulaganja na tuđim nekretninama, postrojenjima i opremi",0,0,0,0,0
0015,"Avansi za nekretnine, postrojenja i opremu u zemlji",10070,0,0,0,0
0016,"Avansi za nekretnine, postrojenja i opremu u inostranstvu",0,0,0,0,0
0017,Biološka sredstva,0,0,0,0,0
0018,DUGOROČNI FINANSIJSKI PLASMANI I DUGOROČNA POTRAŽIVANJA,311,321,324,230,230
0019,Učešća u kapitalu pravnih lica (osim učešća u kapitalu koja se vrednuju metodom učešća),45,45,45,45,45
0020,Učešća u kapitalu koja se vrednuju metodom učešća,0,0,0,0,0
0021,"Dugoročni plasmani matičnom, zavisnim i ostalim povezanim licima i dugoročna potraživanja od tih lica u zemlji",0,0,0,0,0
0022,"Dugoročni plasmani matičnom, zavisnim i ostalim povezanim licima i dugoročna potraživanja od tih lica u inostranstvu",0,0,0,0,0
0023,Dugoročni plasmani (dati krediti i zajmovi) u zemlji,0,0,0,0,0
0024,Dugoročni plasmani (dati krediti i zajmovi) u inostranstvu,0,0,0,0,0
0025,Dugoročna finansijska ulaganja (hartije od vrednosti koje se vrednuju po amortizovanoj vrednosti),0,0,0,0,0
0026,Otkupljene sopstvene akcije i otkupljeni sopstveni udeli,29,29,29,0,0
0027,Ostali dugoročni finansijski plasmani i ostala dugoročna potraživanja,237,247,250,360,360
0028,Dugoročna aktivna vremenska razgraničenja,0,0,0,0,0
0029,Odložena poreska sredstva,831,1167,1142,606,414
0030,OBRTNA IMOVINA,680500,702073,729630,575050,466051
0031,ZALIHE,202565,184049,132665,106012,110832
0032,"Materijal, rezervni delovi, alat i sitan inventar",0,0,68,0,0
0033,Nedovršena proizvodnja i gotovi proizvodi,0,0,0,0,0
0034,Roba,113641,153766,114621,98620,96271
0035,Plaćeni avansi za zalihe i usluge u zemlji,64225,11247,17181,7392,14561
0036,Plaćeni avansi za zalihe i usluge u inostranstvu,24699,19036,795,0,0
0037,Stalna imovina koja se drži za prodaju i prestanak poslovanja,0,0,0,0,0
0038,POTRAŽIVANJA PO OSNOVU PRODAJE,345722,399405,453988,395716,298561
0039,Potraživanja od kupaca u zemlji,341303,382068,422649,377118,274327
0040,Potraživanja od kupaca u inostranstvu,3080,4397,4050,3519,6955
0041,"Potraživanja od matičnog, zavisnih i ostalih povezanih lica u zemlji",0,10667,21285,15079,17279
0042,"Potraživanja od matičnog, zavisnih i ostalih povezanih lica u inostranstvu",0,0,0,0,0
0043,Ostala potraživanja po osnovu prodaje,1339,2273,6004,0,0
0044,OSTALA KRATKOROČNA POTRAŽIVANJA,20522,10891,28980,15971,32748
0045,Ostala potraživanja,6736,10865,27527,0,0
0046,Potraživanja za više plaćen porez na dobitak,13760,0,1427,0,0
